grievance,urgency
hamare area mein problem hai ki dangerous electric pole girne wala hai,CRITICAL
मैं शिकायत करना चाहता हूं कि सरकारी इमारत में आग लगने की आपात स्थिति है कृपया कार्रवाई करें,CRITICAL
सरकारी इमारत में आग लगने की आपात स्थिति है और लोगों को परेशानी हो रही है,CRITICAL
there is a problem where exposed electric wire on the road please take action,CRITICAL
"कृपया मदद करें, सार्वजनिक टॉयलेट कई दिनों से इस्तेमाल नहीं हो रहा है कई दिनों से",HIGH
सड़क का साइन बोर्ड धुंधला है कृपया कार्रवाई करें,LOW
"please action lein, name board kharab hai kai dino se",LOW
हमारे इलाके में समस्या है कि मुख्य सड़क पर सीवेज का पानी बह रहा है कृपया इसे जल्द हल करें,CRITICAL
"हमारे इलाके में, सार्वजनिक इमारत में आग लगी है और लोगों को परेशानी हो रही है",CRITICAL
"please help, park ki wall ko paint karna hai please ise resolve karein",LOW
"हमारे इलाके में, एक कूड़ेदान खराब है कृपया कार्रवाई करें",LOW
"हमारे इलाके में, हमारे इलाके में कोई भी स्ट्रीट लाइट काम नहीं कर रही है कृपया कार्रवाई करें",HIGH
"please take action, garbage bin is overflowing occasionally please take action",MEDIUM
public toilett kai dino se unusable hai kai dino se,HIGH
"near my house, garbej collection is irregular for many days",MEDIUM
"near my house, gas leak near residential area",CRITICAL
मैं शिकायत करना चाहता हूं कि पार्क की रेलिंग की मरम्मत करनी है कृपया कार्रवाई करें,LOW
"please help, garbage has not been collected for many days please take action",HIGH
"हमारे इलाके में, स्कॉलरशिप जारी नहीं हुई है कृपया इसे जल्द हल करें",HIGH
park gate needs minor repair please resolve this,LOW
"हमारे इलाके में, खराब सड़क के कारण बड़ा हादसा हुआ है कृपया कार्रवाई करें",CRITICAL
सड़क पर कई छोटी दरारें हैं कृपया कार्रवाई करें,MEDIUM
I want to report that sewage is overflowing near houses for many days,HIGH
"please take action, garbej is piling up near residential buildings for many days",HIGH
"कृपया मदद करें, मेरे घर के पास स्ट्रीट लाइट काम नहीं कर रही है हमारे इलाके में",MEDIUM
मैं शिकायत करना चाहता हूं कि पानी की सप्लाई नियमित नहीं है कृपया इसे जल्द हल करें,MEDIUM
"near my house, main road is badly damaged and residents are facing problems",HIGH
"मेरे घर के पास, हमारे इलाके में पानी की सप्लाई नहीं है और लोगों को परेशानी हो रही है",HIGH
"कृपया कार्रवाई करें, लोग दूषित पानी पी रहे हैं और लोगों को परेशानी हो रही है",CRITICAL
मैं शिकायत करना चाहता हूं कि पीने का पानी दूषित है हमारे इलाके में,CRITICAL
"कृपया कार्रवाई करें, खराब सड़क के कारण बड़ा हादसा हुआ है कई दिनों से",CRITICAL
main report karna chahta hoon ki main roaad par sewage water overflow ho raha hai,CRITICAL
main report karna chahta hoon ki drinking watr contaminated hai please action lein,CRITICAL
"कृपया कार्रवाई करें, स्ट्रीट लाइट बार-बार झपक रही है कृपया कार्रवाई करें",MEDIUM
हमारे इलाके में समस्या है कि खतरनाक बिजली का खंभा गिरने वाला है कृपया इसे जल्द हल करें,CRITICAL
"मेरे घर के पास, सड़क का साइन बोर्ड धुंधला है हमारे इलाके में",LOW
"please take action, public tolet has been unusable for several days",HIGH
हमारे इलाके में समस्या है कि लोग दूषित पानी पी रहे हैं कृपया इसे जल्द हल करें,CRITICAL
main report karna chahta hoon ki houses ke paas sewage overflow ho raha hai please ise resolve karein,HIGH
there is a problem where park lights are not working properly for many days,MEDIUM
"mere ghar ke paas, park ki bench ko paint karna hai please action lein",LOW
"कृपया कार्रवाई करें, नाम का बोर्ड खराब है और लोगों को परेशानी हो रही है",LOW
"please help, houses ke paas sewage overflow ho raha hai",HIGH
"कृपया मदद करें, फुटपाथ में छोटी दरार है",LOW
"please action lein, public bench purani hai please ise resolve karein",LOW
"हमारे इलाके में, पार्क की रेलिंग की मरम्मत करनी है कृपया इसे जल्द हल करें",LOW
kai dino se garbage collect nahi hua hai hamare area mein,HIGH
"please help, park gate ki minor repair chahiye",LOW
there is a problem where sewage water is overflowing on the main road please take action,CRITICAL
I want to report that no stret light is working in our area,HIGH
"कृपया मदद करें, सार्वजनिक इमारत में आग लगी है कृपया कार्रवाई करें",CRITICAL
"please take action, toilet door is broken and residents are facing problems",MEDIUM
"हमारे इलाके में, कई दिनों से कूड़ा नहीं उठाया गया है और लोगों को परेशानी हो रही है",HIGH
hamare area mein problem hai ki drain partially blocked hai please action lein,MEDIUM
"कृपया मदद करें, स्कॉलरशिप आवेदन की स्थिति अपडेट नहीं हुई है हमारे इलाके में",MEDIUM
मैं शिकायत करना चाहता हूं कि लोग दूषित पानी पी रहे हैं और लोगों को परेशानी हो रही है,CRITICAL
main report karna chahta hoon ki government building mein fire emergency hai kai dino se,CRITICAL
"please help, drainage ki cleaning chahiye",MEDIUM
"in our locality, there is no wter supply in our locality please take action",HIGH
"in our locality, street light near my house is not working and residents are facing problems",MEDIUM
hamare area mein problem hai ki ek dustbin kharab hai please action lein,LOW
हमारे इलाके में समस्या है कि रिहायशी इलाके के पास गैस लीक हो रही है हमारे इलाके में,CRITICAL
हमारे इलाके में समस्या है कि बच्चे खुले मैनहोल के खतरे में हैं कृपया इसे जल्द हल करें,CRITICAL
public toilet kai dino se unusable hai please ise resolve karein,HIGH
"mere ghar ke paas, drainage ki cleaning chahiye hamare area mein",MEDIUM
हमारे इलाके में समस्या है कि बच्चे खुले मैनहोल के खतरे में हैं कृपया कार्रवाई करें,CRITICAL
"please help, school ke paas open manhole hai please action lein",CRITICAL
"hamare locality mein, public bench purani hai",LOW
मैं शिकायत करना चाहता हूं कि सड़क का साइन बोर्ड धुंधला है कृपया कार्रवाई करें,LOW
"near my house, public bench is old and residents are facing problems",LOW
"please action lein, public washroom bahut dirty hai aur residents ko problem ho rahi hai",HIGH
"mere ghar ke paas, government building mein fire emergency hai kai dino se",CRITICAL
scholrship has not been released in our area,HIGH
"near my house, people are drinking contaminated wter and residents are facing problems",CRITICAL
सार्वजनिक शौचालय बहुत गंदा है हमारे इलाके में,HIGH
"हमारे इलाके में, रिहायशी इलाके के पास गैस लीक हो रही है हमारे इलाके में",CRITICAL
"mere ghar ke paas, park ki wall ko paint karna hai kai dino se",LOW
park bench needs painting please take action,LOW
"mere ghar ke paas, footpath mein chhota crack hai",LOW
"please take action, gas leak near residential area for many days",CRITICAL
हमारे इलाके में समस्या है कि मेरे घर के पास स्ट्रीट लाइट काम नहीं कर रही है कृपया इसे जल्द हल करें,MEDIUM
there is a problem where garbage has not been collected for many days in our area,HIGH
name board kharab hai aur residents ko problem ho rahi hai,LOW
there is no wter supply in our locality for many days,HIGH
"please action lein, log contaminated watr pee rahe hain kai dino se",CRITICAL
"hamare locality mein, road completely damaged ho gayi hai hamare area mein",HIGH
"near my house, sewage water is overflowing on the main roaad and residents are facing problems",CRITICAL
I want to report that large potholes are causing problems for vehicles and residents are facing problems,HIGH
"please help, shcool ke paas open manhole hai please action lein",CRITICAL
hamare area mein problem hai ki main road par sewage water overflow ho raha hai hamare area mein,CRITICAL
scholarshp release nahi hui hai kai dino se,HIGH
हमारे इलाके में समस्या है कि पार्क की रेलिंग की मरम्मत करनी है कृपया इसे जल्द हल करें,LOW
"please help, residential area ke paas gas leak ho rahi hai hamare area mein",CRITICAL
"कृपया मदद करें, सार्वजनिक बेंच पुरानी है कई दिनों से",LOW
"please help, rod completely damaged ho gayi hai hamare area mein",HIGH
"please action lein, main road badly damaged hai kai dino se",HIGH
"कृपया कार्रवाई करें, नाली आंशिक रूप से बंद है कई दिनों से",MEDIUM
"कृपया कार्रवाई करें, बच्चे खुले मैनहोल के खतरे में हैं और लोगों को परेशानी हो रही है",CRITICAL
I want to report that garbge collection is irregular please resolve this,MEDIUM
मेरे घर के पास स्ट्रीट लाइट काम नहीं कर रही है हमारे इलाके में,MEDIUM
"कृपया कार्रवाई करें, मुख्य सड़क पर सीवेज का पानी बह रहा है कृपया इसे जल्द हल करें",CRITICAL
"mere ghar ke paas, public toilet kai dino se unusable hai aur residents ko problem ho rahi hai",HIGH
"मेरे घर के पास, नाम का बोर्ड खराब है",LOW
"please take action, sewage water is overflowing on the main roaad in our area",CRITICAL
there is a problem where name board is damaged please take action,LOW
"please help, drinking watr is contaminated in our area",CRITICAL
मैं शिकायत करना चाहता हूं कि टॉयलेट गंदा है और इस्तेमाल करने लायक नहीं है हमारे इलाके में,HIGH
"please help, many potholes are present on the main road",HIGH
I want to report that major accident caused by damaged road and residents are facing problems,CRITICAL
hamare area mein problem hai ki street light flicker kar rahi hai,MEDIUM
I want to report that fire in a public building,CRITICAL
"near my house, drainage needs cleaning in our area",MEDIUM
main report karna chahta hoon ki tolet ka door toot gaya hai hamare area mein,MEDIUM
"please take action, garbage collection is irregular please take action",MEDIUM
"कृपया मदद करें, पीने का पानी दूषित है",CRITICAL
"in our locality, garbge collection is irregular for many days",MEDIUM
फुटपाथ में छोटी दरार है और लोगों को परेशानी हो रही है,LOW
"हमारे इलाके में, पार्क की लाइट ठीक से काम नहीं कर रही है",MEDIUM
"हमारे इलाके में, सार्वजनिक टॉयलेट की मरम्मत करनी है कई दिनों से",MEDIUM
hamare area mein problem hai ki water supply regular nahi hai aur residents ko problem ho rahi hai,MEDIUM
मैं शिकायत करना चाहता हूं कि खराब सड़क के कारण बड़ा हादसा हुआ है,CRITICAL
सड़क पर बिजली का खुला तार पड़ा है,CRITICAL
"please help, drain partially blocked hai kai dino se",MEDIUM
"हमारे इलाके में, बिजली का चालू तार सड़क पर गिर गया है",CRITICAL
कूड़ेदान कभी-कभी भर जाता है कई दिनों से,MEDIUM
मैं शिकायत करना चाहता हूं कि पार्क की रेलिंग की मरम्मत करनी है,LOW
"कृपया कार्रवाई करें, सड़क का साइन बोर्ड धुंधला है कृपया इसे जल्द हल करें",LOW
"hamare locality mein, public building mein fire lagi hai please action lein",CRITICAL
"हमारे इलाके में, कूड़ेदान कभी-कभी भर जाता है",MEDIUM
main report karna chahta hoon ki rod par exposed electric wire pada hai,CRITICAL
मैं शिकायत करना चाहता हूं कि पानी की सप्लाई नियमित नहीं है कृपया कार्रवाई करें,MEDIUM
"please take action, footpath has a small crack in our area",LOW
"कृपया मदद करें, टॉयलेट का दरवाजा टूटा हुआ है कई दिनों से",MEDIUM
there is a problem where exposed electric wire on the rod please take action,CRITICAL
"please help, mere ghar ke paas street light kaam nahi kar rahi hai kai dino se",MEDIUM
मैं शिकायत करना चाहता हूं कि फुटपाथ में छोटी दरार है,LOW
I want to report that sewage water is overflowing on the main road please resolve this,CRITICAL
"please action lein, drinking wter contaminated hai kai dino se",CRITICAL
"कृपया मदद करें, नाली की सफाई की जरूरत है",MEDIUM
"please help, area mein drinking wter available nahi hai please ise resolve karein",HIGH
"hamare locality mein, road par kai small cracks hain",MEDIUM
"mere ghar ke paas, drainage ki cleaning chahiye",MEDIUM
मैं शिकायत करना चाहता हूं कि सार्वजनिक शौचालय बहुत गंदा है,HIGH
"hamare locality mein, residential area ke paas gas leak ho rahi hai",CRITICAL
"hamare locality mein, toilet dirty hai aur use nahi ho sakta hamare area mein",HIGH
"mere ghar ke paas, street light flicker kar rahi hai please action lein",MEDIUM
"mere ghar ke paas, dangerous electric pole girne wala hai",CRITICAL
"please action lein, mere ghar ke paas street ligth kaam nahi kar rahi hai hamare area mein",MEDIUM
"मेरे घर के पास, खराब सड़क के कारण बड़ा हादसा हुआ है",CRITICAL
खराब सड़क के कारण बड़ा हादसा हुआ है,CRITICAL
"मेरे घर के पास, सार्वजनिक टॉयलेट की मरम्मत करनी है और लोगों को परेशानी हो रही है",MEDIUM
there is a problem where garbej bin is overflowing occasionally and residents are facing problems,MEDIUM
"हमारे इलाके में, बिजली का चालू तार सड़क पर गिर गया है",CRITICAL
हमारे इलाके में समस्या है कि नाली आंशिक रूप से बंद है कृपया कार्रवाई करें,MEDIUM
main report karna chahta hoon ki park ki wall ko paint karna hai please action lein,LOW
"near my house, garbej collection is irregular and residents are facing problems",MEDIUM
"near my house, main roaad is badly damaged for many days",HIGH
garbage has not been collected for many days in our area,HIGH
there is a problem where open manhole near a school,CRITICAL
"हमारे इलाके में, पार्क की बेंच पर पेंट करने की जरूरत है",LOW
"please action lein, roaad par kai small cracks hain",MEDIUM
"mere ghar ke paas, toilt ka door toot gaya hai kai dino se",MEDIUM
hamare area mein problem hai ki park railing ki repair chahiye kai dino se,LOW
"हमारे इलाके में, सड़क पर बिजली का खुला तार पड़ा है हमारे इलाके में",CRITICAL
"कृपया कार्रवाई करें, पार्क की बेंच पर पेंट करने की जरूरत है कृपया कार्रवाई करें",LOW
hamare area mein problem hai ki scholarship application ka status update nahi hua aur residents ko problem ho rahi hai,MEDIUM
"in our locality, drinking watr is contaminated",CRITICAL
"हमारे इलाके में, खतरनाक बिजली का खंभा गिरने वाला है",CRITICAL
हमारे इलाके में समस्या है कि पार्क की लाइट ठीक से काम नहीं कर रही है हमारे इलाके में,MEDIUM
"please help, drain is partially blocked for many days",MEDIUM
"in our locality, park lights are not working properly",MEDIUM
"hamare locality mein, public toilet kai dino se unusable hai kai dino se",HIGH
"कृपया कार्रवाई करें, सार्वजनिक शौचालय बहुत गंदा है",HIGH
roaad has several small cracks and residents are facing problems,MEDIUM
सड़क पर बिजली का खुला तार पड़ा है कृपया कार्रवाई करें,CRITICAL
"please help, park gate needs minor repair please take action",LOW
"please take action, garbej bin is overflowing occasionally in our area",MEDIUM
there is a problem where fire in a public building,CRITICAL
"hamare locality mein, name board kharab hai please action lein",LOW
main report karna chahta hoon ki main road par sewage water overflow ho raha hai please ise resolve karein,CRITICAL
"in our locality, scholarship has not been released in our area",HIGH
park ki wall ko paint karna hai please ise resolve karein,LOW
"please help, park railing ki repair chahiye hamare area mein",LOW
main report karna chahta hoon ki public toilet ki repair chahiye please ise resolve karein,MEDIUM
toilet door is broken please take action,MEDIUM
हमारे इलाके में समस्या है कि खराब सड़क के कारण बड़ा हादसा हुआ है और लोगों को परेशानी हो रही है,CRITICAL
हमारे इलाके में समस्या है कि सार्वजनिक टॉयलेट कई दिनों से इस्तेमाल नहीं हो रहा है कृपया कार्रवाई करें,HIGH
"कृपया मदद करें, लोग दूषित पानी पी रहे हैं हमारे इलाके में",CRITICAL
hamare area mein problem hai ki large potholes ki wajah se vehicles ko problem ho rahi hai,HIGH
I want to report that park railing needs repair in our area,LOW
"हमारे इलाके में, नाली की सफाई की जरूरत है",MEDIUM
"in our locality, park wall needs painting and residents are facing problems",LOW
मैं शिकायत करना चाहता हूं कि सार्वजनिक टॉयलेट की मरम्मत करनी है कृपया कार्रवाई करें,MEDIUM
मैं शिकायत करना चाहता हूं कि स्कूल के पास खुला मैनहोल है हमारे इलाके में,CRITICAL
लोग दूषित पानी पी रहे हैं कृपया कार्रवाई करें,CRITICAL
"कृपया कार्रवाई करें, बच्चे खुले मैनहोल के खतरे में हैं कई दिनों से",CRITICAL
"please action lein, footpath mein chhota crack hai",LOW
"in our locality, footpath has a small crack for many days",LOW
"mere ghar ke paas, mere ghar ke paas street light kaam nahi kar rahi hai kai dino se",MEDIUM
children open manhole ke danger mein hain please ise resolve karein,CRITICAL
hamare area mein problem hai ki park gate ki minor repair chahiye kai dino se,LOW
one dustbin is damaged in our area,LOW
"please help, people are drinking contaminated water and residents are facing problems",CRITICAL
"please action lein, shcool ke paas open manhole hai",CRITICAL
"please action lein, name board kharab hai please action lein",LOW
main road par bahut saare pothoels hain kai dino se,HIGH
main report karna chahta hoon ki schoship release nahi hui hai,HIGH
open manhole near a school please take action,CRITICAL
main report karna chahta hoon ki log contaminated water pee rahe hain kai dino se,CRITICAL
residential buildings ke paas garbage pile ho raha hai please ise resolve karein,HIGH
there is a problem where main rod is badly damaged,HIGH
"hamare locality mein, mere ghar ke paas street light kaam nahi kar rahi hai aur residents ko problem ho rahi hai",MEDIUM
"please action lein, public bench purani hai aur residents ko problem ho rahi hai",LOW
hamare area mein problem hai ki toilet ka door toot gaya hai aur residents ko problem ho rahi hai,MEDIUM
main report karna chahta hoon ki drain partially blocked hai,MEDIUM
"mere ghar ke paas, dangerous electric pole girne wala hai hamare area mein",CRITICAL
"near my house, park lights are not working properly and residents are facing problems",MEDIUM
"कृपया मदद करें, कूड़ेदान कभी-कभी भर जाता है",MEDIUM
"मेरे घर के पास, सार्वजनिक इमारत में आग लगी है और लोगों को परेशानी हो रही है",CRITICAL
"in our locality, exposed electric wire on the road and residents are facing problems",CRITICAL
हमारे इलाके में समस्या है कि घरों के पास सीवेज का पानी बह रहा है हमारे इलाके में,HIGH
"mere ghar ke paas, scholarship application ka status update nahi hua please action lein",MEDIUM
"near my house, one dustbin is damaged for many days",LOW
हमारे इलाके में समस्या है कि नाली आंशिक रूप से बंद है कृपया कार्रवाई करें,MEDIUM
main report karna chahta hoon ki school ke paas open manhole hai aur residents ko problem ho rahi hai,CRITICAL
damaged road ki wajah se major accident hua hai hamare area mein,CRITICAL
"मेरे घर के पास, पार्क की लाइट ठीक से काम नहीं कर रही है कई दिनों से",MEDIUM
मैं शिकायत करना चाहता हूं कि घरों के पास सीवेज का पानी बह रहा है कृपया कार्रवाई करें,HIGH
हमारे इलाके में समस्या है कि सड़क पूरी तरह खराब हो गई है कृपया कार्रवाई करें,HIGH
I want to report that no strete light is working in our area please take action,HIGH
"mere ghar ke paas, residential area ke paas gas leak ho rahi hai please ise resolve karein",CRITICAL
"please help, scholarship has not been released and residents are facing problems",HIGH
public toilett has been unusable for several days and residents are facing problems,HIGH
there is a problem where public toilet needs repair and residents are facing problems,MEDIUM
"please action lein, main rod badly damaged hai hamare area mein",HIGH
"कृपया कार्रवाई करें, सार्वजनिक टॉयलेट कई दिनों से इस्तेमाल नहीं हो रहा है कृपया कार्रवाई करें",HIGH
"please help, garbage bin is overflowing occasionally in our area",MEDIUM
there is a problem where no street light is working in our area please take action,HIGH
"मेरे घर के पास, नाली आंशिक रूप से बंद है कृपया इसे जल्द हल करें",MEDIUM
"please help, sewage water is overflowing on the main road",CRITICAL
"हमारे इलाके में, टॉयलेट गंदा है और इस्तेमाल करने लायक नहीं है कई दिनों से",HIGH
public bench is old please resolve this,LOW
"please take action, exposed electric wire on the roaad please take action",CRITICAL
"हमारे इलाके में, सड़क पूरी तरह खराब हो गई है कृपया कार्रवाई करें",HIGH
"मेरे घर के पास, सार्वजनिक बेंच पुरानी है और लोगों को परेशानी हो रही है",LOW
"mere ghar ke paas, footpath mein chhota crack hai please ise resolve karein",LOW
"please action lein, drainage ki cleaning chahiye",MEDIUM
I want to report that park bench needs painting in our area,LOW
hamare area mein problem hai ki public toilet kai dino se unusable hai kai dino se,HIGH
"near my house, major accident caused by damaged road",CRITICAL
"please help, street light flicker kar rahi hai hamare area mein",MEDIUM
I want to report that footpath has a small crack,LOW
dangerous electric pole girne wala hai kai dino se,CRITICAL
I want to report that street sign is faded please take action,LOW
garbge bin kabhi kabhi overflow ho jata hai hamare area mein,MEDIUM
"मेरे घर के पास, स्कॉलरशिप जारी नहीं हुई है कई दिनों से",HIGH
खतरनाक बिजली का खंभा गिरने वाला है कृपया कार्रवाई करें,CRITICAL
"please take action, people are drinking contaminated watr please take action",CRITICAL
"कृपया कार्रवाई करें, खराब सड़क के कारण बड़ा हादसा हुआ है और लोगों को परेशानी हो रही है",CRITICAL
"हमारे इलाके में, सड़क का साइन बोर्ड धुंधला है कृपया कार्रवाई करें",LOW
पानी की सप्लाई नियमित नहीं है,MEDIUM
"please action lein, public washroom bahut dirty hai hamare area mein",HIGH
"in our locality, main rod is badly damaged for many days",HIGH
"please take action, drainage needs cleaning please resolve this",MEDIUM
there is a problem where large potholes are causing problems for vehicles and residents are facing problems,HIGH
"कृपया कार्रवाई करें, पार्क की बेंच पर पेंट करने की जरूरत है और लोगों को परेशानी हो रही है",LOW
hamare area mein problem hai ki ek dustbin kharab hai please action lein,LOW
hamare area mein problem hai ki dangerous electric pole girne wala hai hamare area mein,CRITICAL
main report karna chahta hoon ki ek dustbin kharab hai please ise resolve karein,LOW
park gate needs minor repair for many days,LOW
road is completely damaged in our area,HIGH
hamare area mein problem hai ki park ki bench ko paint karna hai aur residents ko problem ho rahi hai,LOW
"हमारे इलाके में, सार्वजनिक टॉयलेट की मरम्मत करनी है कृपया कार्रवाई करें",MEDIUM
I want to report that open manhole near a school,CRITICAL
हमारे इलाके में समस्या है कि स्कॉलरशिप जारी नहीं हुई है,HIGH
"hamare locality mein, public toilet ki repair chahiye aur residents ko problem ho rahi hai",MEDIUM
हमारे इलाके में समस्या है कि मेरे घर के पास स्ट्रीट लाइट काम नहीं कर रही है कृपया इसे जल्द हल करें,MEDIUM
park lights properly kaam nahi kar rahi hain aur residents ko problem ho rahi hai,MEDIUM
टॉयलेट का दरवाजा टूटा हुआ है और लोगों को परेशानी हो रही है,MEDIUM
"मेरे घर के पास, पार्क के गेट की छोटी मरम्मत करनी है और लोगों को परेशानी हो रही है",LOW
"कृपया मदद करें, सार्वजनिक शौचालय बहुत गंदा है कृपया कार्रवाई करें",HIGH
hamare area mein koi street light kaam nahi kar rahi hai hamare area mein,HIGH
main report karna chahta hoon ki rod par exposed electric wire pada hai please ise resolve karein,CRITICAL
"please help, park bench needs painting",LOW
"कृपया मदद करें, एक कूड़ेदान खराब है हमारे इलाके में",LOW
main report karna chahta hoon ki main roaad par bahut saare potholes hain,HIGH
"कृपया कार्रवाई करें, मुख्य सड़क बहुत खराब हो गई है कृपया कार्रवाई करें",HIGH
main report karna chahta hoon ki ek dustbin kharab hai hamare area mein,LOW
"कृपया मदद करें, सार्वजनिक शौचालय बहुत गंदा है हमारे इलाके में",HIGH
main report karna chahta hoon ki public washrm bahut dirty hai kai dino se,HIGH
मैं शिकायत करना चाहता हूं कि पार्क की बेंच पर पेंट करने की जरूरत है कृपया इसे जल्द हल करें,LOW
"please take action, public toilet needs repair",MEDIUM
"in our locality, children are exposed to an open manhole for many days",CRITICAL
I want to report that major accident caused by damaged road and residents are facing problems,CRITICAL
"please take action, public toilet needs repair please take action",MEDIUM
"please help, many pothoels are present on the main road in our area",HIGH
park wall needs painting and residents are facing problems,LOW
"hamare locality mein, garbage bin kabhi kabhi overflow ho jata hai",MEDIUM
"हमारे इलाके में, एक कूड़ेदान खराब है कृपया इसे जल्द हल करें",LOW
"near my house, children are exposed to an open manhole and residents are facing problems",CRITICAL
live electric wire street par gir gaya hai please action lein,CRITICAL
"mere ghar ke paas, ek dustbin kharab hai",LOW
सार्वजनिक शौचालय बहुत गंदा है और लोगों को परेशानी हो रही है,HIGH
"कृपया कार्रवाई करें, सार्वजनिक बेंच पुरानी है हमारे इलाके में",LOW
"hamare locality mein, hamare area mein koi street light kaam nahi kar rahi hai please action lein",HIGH
"near my house, footpath has a small crack in our area",LOW
hamare area mein problem hai ki damaged road ki wajah se major accident hua hai aur residents ko problem ho rahi hai,CRITICAL
हमारे इलाके में समस्या है कि घरों के पास सीवेज का पानी बह रहा है कृपया इसे जल्द हल करें,HIGH
there is a problem where park lights are not working properly please resolve this,MEDIUM
"कृपया कार्रवाई करें, कूड़ेदान कभी-कभी भर जाता है हमारे इलाके में",MEDIUM
there is a problem where stret light is flickering please take action,MEDIUM
"in our locality, sewage water is overflowing on the main road",CRITICAL
main road badly damaged hai hamare area mein,HIGH
मैं शिकायत करना चाहता हूं कि सरकारी इमारत में आग लगने की आपात स्थिति है कृपया कार्रवाई करें,CRITICAL
main report karna chahta hoon ki park railing ki repair chahiye,LOW
main road par bahut saare pothols hain aur residents ko problem ho rahi hai,HIGH
"mere ghar ke paas, school ke paas open manhole hai aur residents ko problem ho rahi hai",CRITICAL
"near my house, park wall needs painting please resolve this",LOW
park ki wall ko paint karna hai please ise resolve karein,LOW
"मेरे घर के पास, फुटपाथ में छोटी दरार है हमारे इलाके में",LOW
there is a problem where public washroom is very dirty please take action,HIGH
"मेरे घर के पास, बड़े गड्ढों के कारण वाहनों को परेशानी हो रही है कई दिनों से",HIGH
"mere ghar ke paas, hamare area mein koi street light kaam nahi kar rahi hai kai dino se",HIGH
हमारे इलाके में समस्या है कि सार्वजनिक टॉयलेट की मरम्मत करनी है हमारे इलाके में,MEDIUM
"please help, public washroom bahut dirty hai please action lein",HIGH
hamare area mein problem hai ki park lights properly kaam nahi kar rahi hain hamare area mein,MEDIUM
hamare area mein problem hai ki ek dustbin kharab hai kai dino se,LOW
I want to report that scholarship application status is not updated please resolve this,MEDIUM
"कृपया मदद करें, सड़क पर बिजली का खुला तार पड़ा है कई दिनों से",CRITICAL
"in our locality, toilet door is broken",MEDIUM
main report karna chahta hoon ki hamare locality mein watr supply nahi hai kai dino se,HIGH
"please help, scholarship application status is not updated please take action",MEDIUM
"कृपया मदद करें, स्कूल के पास खुला मैनहोल है और लोगों को परेशानी हो रही है",CRITICAL
"mere ghar ke paas, park ki bench ko paint karna hai aur residents ko problem ho rahi hai",LOW
there is a problem where gas leak near residential area,CRITICAL
"please help, park railing ki repair chahiye kai dino se",LOW
"please take action, name board is damaged please resolve this",LOW
"near my house, schoship application status is not updated in our area",MEDIUM
main report karna chahta hoon ki hamare locality mein wter supply nahi hai,HIGH
"हमारे इलाके में, स्ट्रीट लाइट बार-बार झपक रही है",MEDIUM
there is a problem where garbage collection is irregular in our area,MEDIUM
toilet dirty hai aur use nahi ho sakta please action lein,HIGH
one dustbin is damaged and residents are facing problems,LOW
rod par kai small cracks hain hamare area mein,MEDIUM
हमारे इलाके में समस्या है कि घरों के पास सीवेज का पानी बह रहा है और लोगों को परेशानी हो रही है,HIGH
"hamare locality mein, footpath mein chhota crack hai hamare area mein",LOW
hamare area mein problem hai ki street light flicker kar rahi hai aur residents ko problem ho rahi hai,MEDIUM
"please help, toilet ka door toot gaya hai please ise resolve karein",MEDIUM
"हमारे इलाके में, सार्वजनिक टॉयलेट की मरम्मत करनी है कृपया इसे जल्द हल करें",MEDIUM
"please help, major accident caused by damaged road and residents are facing problems",CRITICAL
"please take action, drinking water is contaminated please take action",CRITICAL
main report karna chahta hoon ki scholarshp application ka status update nahi hua,MEDIUM
water supply is irregular,MEDIUM
"please take action, park lights are not working properly and residents are facing problems",MEDIUM
"hamare locality mein, toilet dirty hai aur use nahi ho sakta aur residents ko problem ho rahi hai",HIGH
there is a problem where drinking water is contaminated for many days,CRITICAL
"hamare locality mein, park gate ki minor repair chahiye hamare area mein",LOW
"please help, live electric wire stret par gir gaya hai aur residents ko problem ho rahi hai",CRITICAL
"कृपया कार्रवाई करें, एक कूड़ेदान खराब है कृपया कार्रवाई करें",LOW
"hamare locality mein, street light flicker kar rahi hai please action lein",MEDIUM
कूड़ा उठाने की व्यवस्था नियमित नहीं है कृपया इसे जल्द हल करें,MEDIUM
hamare area mein problem hai ki area mein drinking wter available nahi hai,HIGH
there is a problem where main rod is badly damaged please take action,HIGH
"कृपया कार्रवाई करें, पार्क की रेलिंग की मरम्मत करनी है कृपया इसे जल्द हल करें",LOW
"please take action, park wall needs painting and residents are facing problems",LOW
"कृपया मदद करें, सार्वजनिक शौचालय बहुत गंदा है कई दिनों से",HIGH
"हमारे इलाके में, पार्क की बेंच पर पेंट करने की जरूरत है कई दिनों से",LOW
"in our locality, garbage has not been collected for many days",HIGH
hamare area mein problem hai ki ek dustbin kharab hai kai dino se,LOW
main report karna chahta hoon ki garbage bin kabhi kabhi overflow ho jata hai hamare area mein,MEDIUM
"please help, scholarship release nahi hui hai please ise resolve karein",HIGH
"please help, public bench purani hai please action lein",LOW
"in our locality, public washrm is very dirty and residents are facing problems",HIGH
"please take action, public toilet needs repair in our area",MEDIUM
"please action lein, drain partially blocked hai",MEDIUM
I want to report that street light is flickering in our area,MEDIUM
"please help, public building mein fire lagi hai hamare area mein",CRITICAL
I want to report that park bench needs painting in our area,LOW
"please help, public building mein fire lagi hai please ise resolve karein",CRITICAL
